Wavelength,Average,Red,Green,Blue
423.9,7.65,7.65,0,12.75
424.5,7.65,7.65,0,12.75
425,7.65,7.65,0,12.75
425.6,7.65,7.65,0,12.75
426.1,7.65,7.65,0,12.75
426.6,7.65,7.65,0,12.75
427.2,7.65,7.65,0,12.75
427.7,7.65,7.65,0,12.75
428.3,7.65,7.65,0,15.3
428.8,7.65,7.65,0,15.3
429.3,7.65,7.65,0,15.3
429.9,7.65,7.65,0,15.3
430.4,7.65,7.65,0,15.3
431,7.65,7.65,0,15.3
431.5,7.65,7.65,0,15.3
432,10.2,7.65,0,20.4
432.6,12.7,7.65,0,30.6
433.1,15.3,7.65,0,35.7
433.7,15.3,7.65,0,35.7
434.2,15.3,7.65,0,38.25
434.7,15.3,7.65,0,38.25
435.3,15.3,7.65,0,38.25
435.8,15.3,7.65,0,38.25
436.4,15.3,7.65,0,38.25
436.9,12.7,5.1,0,35.7
437.4,12.7,5.1,0,35.7
438,15.3,7.65,0,40.8
438.5,15.3,7.65,0,40.8
439.1,17.8,10.2,0,45.9
439.6,20.4,12.75,0,51
440.1,20.4,12.75,0,53.55
440.7,22.9,12.75,0,53.55
441.2,22.9,10.2,0,56.1
441.8,22.9,10.2,0,56.1
442.3,22.9,12.75,0,58.65
442.8,22.9,12.75,0,58.65
443.4,25.5,12.75,0,61.2
443.9,25.5,12.75,0,61.2
444.5,25.5,15.3,0,63.75
445,25.5,15.3,0,63.75
445.5,25.5,15.3,0,63.75
446.1,25.5,15.3,0,63.75
446.6,25.5,15.3,0,63.75
447.2,25.5,15.3,0,66.3
447.7,25.5,12.75,0,63.75
448.2,25.5,15.3,0,66.3
448.8,25.5,15.3,0,66.3
449.3,28.0,15.3,0,68.85
449.9,28.0,12.75,0,73.95
450.4,30.6,12.75,0,76.5
450.9,30.6,12.75,0,76.5
451.5,30.6,12.75,0,79.05
452,30.6,12.75,0,76.5
452.6,30.6,12.75,0,81.6
453.1,30.6,12.75,0,81.6
453.6,33.1,15.3,0,84.15
454.2,33.1,12.75,0,86.7
454.7,33.1,15.3,0,86.7
455.3,33.1,17.85,0,86.7
455.8,35.7,17.85,0,89.25
456.3,35.7,17.85,0,89.25
456.9,35.7,15.3,0,91.8
457.4,35.7,17.85,0,91.8
458,35.7,15.3,0,94.35
458.5,38.2,12.75,0,99.45
459,38.2,12.75,0,102
459.6,40.8,15.3,0,104.5
460.1,40.8,15.3,0,104.5
460.7,40.8,12.75,0,107.1
461.2,40.8,12.75,0,109.6
461.7,40.8,12.75,0,112.2
462.3,43.3,12.75,0,114.8
462.8,43.3,12.75,0,117.3
463.4,45.9,15.3,0,122.4
463.9,45.9,15.3,0,125
464.4,45.9,15.3,0,127.5
465,48.4,15.3,0,127.5
465.5,48.4,15.3,0,132.6
466.1,48.4,15.3,0,132.6
466.6,48.4,15.3,0,132.6
467.1,48.4,15.3,0,132.6
467.7,51,15.3,0,135.2
468.2,51,15.3,0,135.2
468.8,51,15.3,0,135.2
469.3,51,15.3,0,137.7
469.8,51,17.85,0,140.3
470.4,53.5,17.85,0,142.8
470.9,56.1,22.95,0,145.3
471.5,56.1,22.95,0,147.9
472,56.1,22.95,0,147.9
472.5,58.6,22.95,0,153
473.1,58.6,22.95,0,153
473.6,58.6,20.4,0,153
474.2,58.6,20.4,0,153
474.7,58.6,20.4,0,153
475.2,58.6,20.4,0,155.5
475.8,58.6,20.4,0,160.7
476.3,61.2,20.4,0,163.2
476.9,61.2,20.4,0,163.2
477.4,61.2,20.4,0,163.2
477.9,61.2,20.4,0,160.7
478.5,61.2,20.4,0,163.2
479,61.2,17.85,0,163.2
479.6,61.2,17.85,0,165.8
480.1,61.2,17.85,0,165.8
480.6,61.2,17.85,0,165.8
481.2,63.7,20.4,0,168.3
481.7,63.7,20.4,0,168.3
482.3,63.7,20.4,2.55,168.3
482.8,63.7,20.4,2.55,170.9
483.3,66.3,22.95,5.1,173.4
483.9,66.3,20.4,5.1,173.4
484.4,66.3,17.85,5.1,178.5
485,68.8,17.85,7.65,181
485.5,71.4,20.4,12.75,186.2
486,73.9,22.95,12.75,188.7
486.6,76.5,22.95,15.3,188.7
487.1,76.5,22.95,15.3,188.7
487.7,76.5,22.95,15.3,188.7
488.2,76.5,22.95,15.3,188.7
488.7,71.4,17.85,12.75,186.2
489.3,73.9,17.85,12.75,186.2
489.8,73.9,17.85,12.75,186.2
490.4,73.9,17.85,15.3,188.7
490.9,73.9,17.85,15.3,191.3
491.4,76.5,20.4,20.4,193.8
492,79.0,22.95,20.4,196.3
492.5,84.1,22.95,25.5,201.5
493.1,84.1,20.4,25.5,204
493.6,84.1,17.85,28.05,204
494.1,84.1,17.85,30.6,206.6
494.7,84.1,17.85,33.15,206.6
495.2,84.1,15.3,30.6,206.6
495.8,84.1,12.75,33.15,204
496.3,84.1,12.75,33.15,204
496.8,84.1,12.75,33.15,204
497.4,86.7,15.3,35.7,206.6
497.9,89.2,17.85,40.8,211.6
498.5,94.3,22.95,45.9,214.2
499,94.3,22.95,45.9,214.2
499.5,94.3,20.4,45.9,214.2
500.1,94.3,20.4,51,216.8
500.6,94.3,17.85,51,216.8
501.2,94.3,15.3,51,214.2
501.7,96.9,17.85,53.55,221.8
502.2,102,20.4,58.65,227
502.8,104.,22.95,63.75,229.5
503.3,104.,22.95,63.75,229.5
503.9,102,20.4,63.75,227
504.4,102,17.85,63.75,227
504.9,102,17.85,63.75,224.4
505.5,104.,17.85,68.85,227
506,112.,22.95,76.5,232.1
506.6,112.,22.95,79.05,234.6
507.1,112.,22.95,81.6,234.6
507.6,112.,20.4,81.6,232.1
508.2,112.,20.4,84.15,234.6
508.7,114.,20.4,86.7,234.6
509.3,117.,25.5,91.8,239.7
509.8,119.,22.95,94.35,239.7
510.3,119.,22.95,99.45,239.7
510.9,130.,30.6,112.2,247.3
511.4,130.,30.6,112.2,249.9
512,130.,30.6,109.6,247.3
512.5,132.,33.15,114.8,249.9
513,125,25.5,107.1,242.3
513.6,125,22.95,109.6,242.3
514.1,135.,33.15,122.4,252.4
514.7,125,20.4,114.8,242.3
515.2,135.,28.05,127.5,252.4
515.7,142.,38.25,137.7,255
516.3,142.,38.25,137.7,255
516.8,137.,28.05,132.6,252.4
517.4,132.,22.95,125,247.3
517.9,130.,22.95,125,244.8
518.4,130.,22.95,125,244.8
519,130.,22.95,130.1,239.7
